CountryName,Region,PublishYear,ai_mentions_in_legislative_proceedings,ai_talent_concentration,compute_capacity_rmax_gflops,internet_speed_median_download_mbps,num_ai_related_bills_passed_3y_moving_average,number_of_newly_funded_companies,number_of_notable_ml_models,number_of_supercomputers,number_of_total_citations,number_of_total_patent_grants,number_of_total_publications,pc_ai_job_postings_perc_of_all_job_postings,pc_ai_mentions_in_legislative_proceedings,pc_ai_social_media_conversations_net_sentiment,pc_ai_talent_concentration,pc_compute_capacity_rmax_gflops,pc_internet_speed_median_download_mbps,pc_num_ai_related_bills_passed_3y_moving_average,pc_number_of_notable_ml_models,pc_number_of_total_citations,pc_number_of_total_patent_grants,pc_number_of_total_publications,pc_private_investment,pc_total_number_of_ra_submissions,private_investment,relative_ai_skills_penetration,norm_ai_mentions_in_legislative_proceedings_calc,norm_ai_talent_concentration_calc,norm_compute_capacity_rmax_gflops_calc,norm_internet_speed_median_download_mbps_calc,norm_num_ai_related_bills_passed_3y_moving_average_calc,norm_number_of_newly_funded_companies_calc,norm_number_of_notable_ml_models_calc,norm_number_of_supercomputers_calc,norm_number_of_total_citations_calc,norm_number_of_total_patent_grants_calc,norm_number_of_total_publications_calc,norm_pc_ai_job_postings_perc_of_all_job_postings_calc,norm_pc_ai_mentions_in_legislative_proceedings_calc,norm_pc_ai_social_media_conversations_net_sentiment_calc,norm_pc_ai_talent_concentration_calc,norm_pc_compute_capacity_rmax_gflops_calc,norm_pc_internet_speed_median_download_mbps_calc,norm_pc_num_ai_related_bills_passed_3y_moving_average_calc,norm_pc_number_of_notable_ml_models_calc,norm_pc_number_of_total_citations_calc,norm_pc_number_of_total_patent_grants_calc,norm_pc_number_of_total_publications_calc,norm_pc_private_investment_calc,norm_pc_total_number_of_ra_submissions_calc,norm_private_investment_calc,norm_relative_ai_skills_penetration_calc
Austria,Europe & Central Asia,2019,,0.00498,2726078.0,,0.0,3.0,0,1.0,18854,14.0,797,6.87e-10,,,5.61e-10,0.3069935315,,0.0,0.0,0.002123217326,1.58e-06,8.98e-05,3.01151418,2.25e-07,26742005.0,1.09129,14.45783133,31.00902379,0.173285107,,0.0,0.6072874494,0.0,0.0,1.897920346,0.1106477147,2.238757892,78.17708505,3.137372427,,3.825273024,6.525280342,,0.0,0.0,13.41790942,3.008169818,32.74091655,2.467776061,11.67817441,0.07818834533,53.48891428
Austria,Europe & Central Asia,2020,,0.00571,2726078.0,28.005,1.0,6.0,1,1.0,16935,13.0,861,9.2e-10,,,6.4e-10,0.305721608,3.14e-06,1.12e-07,1.12e-07,0.001899210305,1.46e-06,9.66e-05,9.009027389,2.24e-07,80332272.0,0.9452,8.108108108,31.38528139,0.0,23.04552941,33.33333333,0.9917355372,2.5,0.0,1.799125186,0.0545082898,2.153671997,9.168769382,5.965951646,,3.946926925,6.34618244,3.15253978,49.49088283,60.32922561,13.64919743,1.728424031,31.15690829,4.754981615,6.072823681,0.1780660158,27.06484311
Austria,Europe & Central Asia,2021,,0.00647,2726078.0,36.947,1.333333333,7.0,0,1.0,11599,21.0,950,1.23e-09,,9.1e-06,7.22e-10,0.3043925627,4.13e-06,1.49e-07,0.0,0.00129513878,2.34e-06,0.0001060765446,23.80195275,4.47e-07,213165457.0,0.81049,4.460966543,31.08974359,0.07681767601,17.50439452,44.44444444,0.6570302234,0.0,0.0,1.378900513,0.0517410876,1.932190197,16.56689846,3.388768144,10.4493306,4.068150535,1.483199272,2.667980907,51.42209255,0.0,9.510245865,1.902273065,28.19955514,6.032816998,8.699179505,0.2326780677,11.4540095
Austria,Europe & Central Asia,2022,,0.00707,5038378.0,44.4015,1.666666667,9.0,0,2.0,10285,17.0,972,1.47e-09,,6.8e-06,7.82e-10,0.5572286029,4.91e-06,1.84e-07,0.0,0.001137488331,1.88e-06,0.0001075001125,9.290381029,6.64e-07,84002241.0,0.85396,4.672897196,30.85043988,0.1094951212,14.6283471,33.33333333,1.203007519,0.0,0.6211180124,1.839273791,0.02101757393,1.657902998,5.633277777,1.896007959,6.79637532,4.087646691,0.9519464667,2.401169013,64.11133197,0.0,14.35262717,1.292472851,30.71667494,2.322779083,11.33521323,0.1126704581,48.30628992
Austria,Europe & Central Asia,2023,,0.00765,5038378.0,54.7515,1.0,10.0,0,2.0,5704,21.0,933,1.14e-09,,6.35e-06,8.38e-10,0.5517422105,6e-06,1.1e-07,0.0,0.0006246330801,2.3e-06,0.0001021708737,11.89046428,1.1e-06,108580878.0,0.69899,9.615384615,31.97278912,0.06235010947,15.86311477,23.07692308,1.057082452,0.0,0.625,1.582376566,0.0233026903,1.36187432,4.727625464,2.045450069,7.798596072,4.119175369,0.7680157176,2.493074787,21.89380559,0.0,16.15661334,1.19785687,24.48642926,5.534160807,10.80048708,0.1500466119,35.87422948
Austria,Europe & Central Asia,2024,,0.00803,29258378.0,70.433,1.0,10.0,0,3.0,1382,10.0,718,1.15e-09,,6.48e-06,8.75e-10,3.187714265,7.67e-06,1.09e-07,0.0,0.0001505695604,1.09e-06,7.82e-05,164.0713491,7.63e-07,1505925924.0,0.58191,9.23566879,32.80091272,0.4089883723,17.958278,21.42857143,0.9319664492,0.0,1.162790698,1.53189021,0.01016420843,1.301581987,3.760560926,3.460081385,7.868412729,4.076278919,4.563440104,2.643956189,22.1512773,0.0,14.66019998,0.4640639471,22.94346463,39.99820225,11.8052089,1.380604004,19.60906238
Belgium,Europe & Central Asia,2017,1.0,0.004,,,0.0,2.0,0,,15608,3.0,515,,8.79e-08,,3.52e-10,,,0.0,0.0,0.001372112809,2.64e-07,4.53e-05,15.3390032,,174483585.0,0.95735,1.111111111,34.72070099,1.495450594,,0.0,0.3921568627,0.0,1.492537313,1.464484936,0.03947108743,2.367211713,59.67626154,2.496381615,,2.836041184,7.60811818,,0.0,0.0,9.366173146,1.049588613,20.17738832,27.07231912,,1.240511393,16.85600492
Belgium,Europe & Central Asia,2018,2.0,0.00438,,,0.0,4.0,1,,17347,3.0,598,,1.75e-07,,3.83e-10,,,0.0,8.75e-08,0.001518064061,2.63e-07,5.23e-05,1.104552232,,12621778.0,1.02699,1.834862385,31.91690274,1.582784761,,0.0,0.7751937984,2.702702703,1.327433628,1.607747769,0.02596728123,2.160774899,54.83667272,2.902645105,,2.815855219,9.242973308,,0.0,42.86338369,10.77835452,0.7563842957,18.49354953,1.284777211,,0.04008833202,44.12070257
Belgium,Europe & Central Asia,2019,3.0,0.00493,,,0.6666666667,4.0,0,,16555,7.0,677,3.31e-10,2.61e-07,,4.29e-10,,,5.8e-08,0.0,0.00144094602,6.09e-07,5.89e-05,12.18971562,8.7e-08,140047399.0,1.03395,3.614457831,30.59885152,1.423917627,,28.57142857,0.8097165992,0.0,0.8810572687,1.635148959,0.05106817601,1.852209767,34.72975533,1.565603767,,2.921759899,9.917661903,,44.7657799,0.0,8.892590557,1.142661359,20.68717996,10.1587202,4.513074901,0.4314744615,46.80483995
Belgium,Europe & Central Asia,2020,1.0,0.00541,,61.4965,1.0,6.0,0,,13492,14.0,685,6.67e-10,8.67e-08,,4.69e-10,,5.33e-06,8.67e-08,0.0,0.00116929223,1.21e-06,5.94e-05,12.57523198,2.6e-07,145100622.0,1.27483,0.6756756757,29.22077922,2.401667423,60.44217402,33.33333333,0.9917355372,0.0,1.408450704,1.38447976,0.05905064729,1.655582284,6.535119339,1.047489249,,2.883588982,20.25825243,5.359819051,38.24582865,0.0,8.088186062,1.43604186,18.35264315,6.686241678,7.039483657,0.3245503194,67.03162132
Belgium,Europe & Central Asia,2021,5.0,0.00589,,80.128,1.666666667,7.0,0,,17190,9.0,828,8.89e-10,4.32e-07,,5.08e-10,,6.92e-06,1.44e-07,0.0,0.001483662238,7.77e-07,7.15e-05,28.04186853,5.18e-07,324898557.0,0.95017,1.858736059,27.37179487,2.249966904,47.38785312,55.55555556,0.6570302234,0.0,2.034883721,2.166220035,0.02069643504,1.652892562,11.81733413,2.90192507,1.727389697,2.855275066,4.49862039,4.482733777,49.68475654,0.0,10.96993853,0.6212900569,18.44568983,7.111688918,10.08632502,0.3613369338,32.46104795
Belgium,Europe & Central Asia,2022,0.0,0.0063,2717000.0,92.04,2.333333333,9.0,0,1.0,7097,13.0,721,7.88e-10,0.0,,5.39e-10,0.2326156807,7.88e-06,2e-07,0.0,0.0006076089385,1.11e-06,6.17e-05,11.42403518,7.71e-07,133435130.0,0.92838,0.0,26.33431085,0.0,43.26792435,46.66666667,1.203007519,0.0,0.0,1.218655158,0.0145506281,1.165437137,2.92328889,0.0,1.593471496,2.811905484,0.3896367365,3.861079651,69.48155517,0.0,7.373006304,0.7515659229,16.94474055,2.862307166,13.16217462,0.1934827714,56.98116287
Belgium,Europe & Central Asia,2023,1.0,0.0066,2717000.0,113.921,3.333333333,5.0,0,1.0,4540,10.0,838,9.08e-10,8.48e-08,,5.6e-10,0.230499915,9.66e-06,2.83e-07,0.0,0.0003851562806,8.48e-07,7.11e-05,7.523191032,9.33e-07,88679035.0,0.66962,0.4807692308,26.02040816,0.0,47.18099634,76.92307692,0.5285412262,0.0,0.0,1.202606191,0.01048621063,1.200353645,3.732082778,0.216479104,1.76331475,2.744307837,0.309613001,4.026349559,56.53737887,0.0,9.674338804,0.4393549987,16.57948533,3.501507423,9.203895825,0.1225444939,33.82161777
Belgium,Europe & Central Asia,2024,5.0,0.00681,2776000.0,142.895,4.333333333,9.0,0,1.0,1103,11.0,583,1.1e-09,4.21e-07,,5.73e-10,0.2337321261,1.2e-05,3.65e-07,0.0,9.29e-05,9.26e-07,4.91e-05,15.68232655,5.89e-07,186256546.0,0.58302,1.592356688,25.84141472,0.0,48.55497309,92.85714286,0.8387698043,0.0,0.0,1.164078361,0.01129356493,1.019084289,3.583531651,1.562082515,1.600970217,2.661879308,0.3075407056,4.152196376,74.18065776,0.0,8.749317015,0.3940025232,13.78316976,3.823122518,9.123122055,0.1707564291,19.67297118
Brazil,Latin America & Caribbean,2017,11.0,0.00083,,,0.0,4.0,0,,22633,7.0,1512,,5.37e-08,,4.05e-12,,,0.0,0.0,0.0001105648222,3.42e-08,7.39e-06,0.4425914767,,90600000.0,1.10887,12.22222222,0.0,1.495450594,,0.0,0.7843137255,0.0,1.492537313,2.197771227,0.1184132623,7.694773966,59.67626154,1.525934692,,0.01541567956,7.60811818,,0.0,0.0,0.1754432308,0.04084069805,1.391199584,0.7811444811,,0.6441312641,57.35746171
Brazil,Latin America & Caribbean,2018,12.0,0.001,1123150.0,,0.3333333333,4.0,0,1.0,26349,7.0,1921,,5.82e-08,,4.85e-12,0.005449347076,,1.62e-09,0.0,0.0001278412021,3.4e-08,9.32e-06,0.02930487733,,6039948.0,1.07107,11.00917431,0.0,0.04025133948,,25.0,0.7751937984,0.0,0.0,2.596539558,0.07790184368,7.637221624,54.83667272,0.9655753667,,0.0163033039,0.0,,2.494774311,0.0,0.3785360341,0.05208003659,1.603224466,0.0,,0.008816595804,54.77036071
Brazil,Latin America & Caribbean,2019,22.0,0.0012,5290000.0,,0.3333333333,8.0,0,3.0,27955,9.0,2155,,1.06e-07,,5.78e-12,0.0254994495,,1.61e-09,0.0,0.0001347518168,4.34e-08,1.04e-05,0.8326136166,4.82e-09,172730240.0,0.93909,26.5060241,0.0,0.5940185794,,14.28571429,1.619433198,0.0,0.8810572687,2.93814757,0.06809090135,6.613194176,30.26416163,0.6358283522,,0.01780216748,0.4517825641,,1.239574877,0.0,0.2289618647,0.05130111883,1.708140626,0.6419496584,0.2499361912,0.5333795302,35.7470916
Brazil,Latin America & Caribbean,2020,4.0,0.00136,10991000.0,19.837,0.3333333333,7.0,0,4.0,24805,16.0,2167,,1.92e-08,,6.52e-12,0.05267399429,9.51e-08,1.6e-09,0.0,0.0001188771202,7.67e-08,1.04e-05,0.3472211044,1.44e-08,72451448.0,0.94366,2.702702703,0.0,1.24101986,13.9251319,11.11111111,1.157024793,0.0,1.408450704,2.746920568,0.06813536225,5.84972407,2.906108504,0.2316977833,,0.01693897129,0.9557174973,0.08143101576,0.7049773006,0.0,0.08541073634,0.07732542098,1.490147515,0.06422421823,0.3892719569,0.1602422328,26.87812212
Brazil,Latin America & Caribbean,2021,72.0,0.00162,22026000.0,33.359,0.0,13.0,0,5.0,18524,36.0,2142,,3.44e-07,2.34e-07,7.73e-12,0.1051108046,1.59e-07,0.0,0.0,8.84e-05,1.72e-07,1.02e-05,0.8101227479,4.77e-09,169761460.0,0.94616,26.76579926,0.0,2.037200973,15.02131517,0.0,1.445466491,0.0,2.325581395,2.354072699,0.0905469033,4.661065452,7.627409783,2.310474851,0.2187504721,0.018841477,0.4868155869,0.08841790127,0.0,0.0,0.1667430678,0.1270613426,1.187294036,0.1824083999,0.0929467626,0.1826990639,31.85796788
Brazil,Latin America & Caribbean,2022,10.0,0.00181,46729150.0,53.287,0.0,12.0,0,8.0,10305,59.0,1837,,4.75e-08,2.52e-07,8.61e-12,0.2221955521,2.53e-07,0.0,0.0,4.9e-05,2.81e-07,8.73e-06,2.733863235,4.75e-09,574948976.0,0.93364,4.672897196,0.0,2.075971986,19.9701812,0.0,1.654135338,0.0,4.347826087,1.843167258,0.08892050507,3.355046304,1.900233986,0.2950816856,0.2127466315,0.02017646148,0.371586501,0.1113522039,0.0,0.0,0.01495627425,0.1646181714,0.9999220611,0.6648602175,0.08122379362,0.9152644832,57.59430223
Brazil,Latin America & Caribbean,2023,14.0,0.00201,55709150.0,85.228,0.0,16.0,0,9.0,5860,50.0,1905,,6.63e-08,1.4e-07,9.52e-12,0.2638484307,4.04e-07,0.0,0.0,2.78e-05,2.37e-07,9.02e-06,0.8044153717,4.74e-09,169844848.0,1.04267,6.730769231,0.0,1.423321128,31.99405077,0.0,1.691331924,0.0,5.0,1.633273627,0.05709159122,3.014485854,1.774252323,0.169196303,0.129181105,0.02047579675,0.3572002907,0.156087475,0.0,0.0,0.0,0.1197362047,0.7874767894,0.3743978298,0.04671172025,0.2347065566,59.89335085
Brazil,Latin America & Caribbean,2024,18.0,0.00228,67911650.0,114.105,0.0,17.0,0,9.0,1582,24.0,1282,,8.49e-08,2.97e-07,1.08e-11,0.3203401279,5.38e-07,0.0,0.0,7.46e-06,1.13e-07,6.05e-06,3.252045814,7.08e-08,689429072.0,1.19519,5.732484076,0.0,1.005941516,36.39854832,0.0,1.584342964,0.0,4.651162791,1.795554618,0.02597519933,2.481794593,1.720279743,0.3150464472,0.3114739277,0.02235711109,0.4323197074,0.1742946861,0.0,0.0,0.0,0.04528267957,0.253063608,0.792801345,1.095228707,0.6320553503,54.91896249
